"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"101","16","0.2","15","categorical_crossentropy","softmax","Adam","0.001","0.8579999804496765"
"102","16","0.2","15","categorical_crossentropy","softmax","Adam","0.01","0.7480000257492065"
"103","16","0.2","15","categorical_crossentropy","softmax","Adam","0.1","0.49399998784065247"
"104","16","0.2","15","categorical_crossentropy","softmax","Adamax","0.0001","0.8450000286102295"
"105","16","0.2","15","categorical_crossentropy","softmax","Adamax","0.001","0.8669999837875366"
"106","16","0.2","15","categorical_crossentropy","softmax","Adamax","0.01","0.8709999918937683"
"107","16","0.2","15","categorical_crossentropy","softmax","Adamax","0.1","0.753000020980835"
"108","16","0.2","15","categorical_crossentropy","softmax","Nadam","0.0001","0.8849999904632568"
"109","16","0.2","15","categorical_crossentropy","softmax","Nadam","0.001","0.8610000014305115"
"110","16","0.2","15","categorical_crossentropy","softmax","Nadam","0.01","0.6679999828338623"
"111","16","0.2","15","categorical_crossentropy","softmax","Nadam","0.1","0.49399998784065247"
"112","16","0.2","15","categorical_crossentropy","sigmoid","Adadelta","0.0001","0.4950000047683716"
"113","16","0.2","15","categorical_crossentropy","sigmoid","Adadelta","0.001","0.574999988079071"
"114","16","0.2","15","categorical_crossentropy","sigmoid","Adadelta","0.01","0.5979999899864197"
"115","16","0.2","15","categorical_crossentropy","sigmoid","Adadelta","0.1","0.8799999952316284"
"116","16","0.2","15","categorical_crossentropy","sigmoid","Adam","0.0001","0.8709999918937683"
"117","16","0.2","15","categorical_crossentropy","sigmoid","Adam","0.001","0.859000027179718"
"118","16","0.2","15","categorical_crossentropy","sigmoid","Adam","0.01","0.8040000200271606"
"119","16","0.2","15","categorical_crossentropy","sigmoid","Adam","0.1","0.5"
"120","16","0.2","15","categorical_crossentropy","sigmoid","Adamax","0.0001","0.8330000042915344"
"121","16","0.2","15","categorical_crossentropy","sigmoid","Adamax","0.001","0.875"
"122","16","0.2","15","categorical_crossentropy","sigmoid","Adamax","0.01","0.8709999918937683"
"123","16","0.2","15","categorical_crossentropy","sigmoid","Adamax","0.1","0.6439999938011169"
"124","16","0.2","15","categorical_crossentropy","sigmoid","Nadam","0.0001","0.878000020980835"
"125","16","0.2","15","categorical_crossentropy","sigmoid","Nadam","0.001","0.8500000238418579"
"126","16","0.2","15","categorical_crossentropy","sigmoid","Nadam","0.01","0.8299999833106995"
"127","16","0.2","15","categorical_crossentropy","sigmoid","Nadam","0.1","0.49000000953674316"
"128","16","0.3","10","binary_crossentropy","softmax","Adadelta","0.0001","0.49300000071525574"
